nombre,codigo,stock,precio,categoria,descripcion,proveedor,ubicacion
Óptica,AL112964,2,,Eléctricos,Óptica JD 7505,John Deere,
Filtro,DZ118286,3,,Filtros,Filtro JD 7505,John Deere,Estantería inferior
Filtro hidráulico,AL156624,2,,Filtros,Filtro hidráulico JD 7505,John Deere,
Correa,R288922,1,,Transmisión,Correa JD 7195J,John Deere,
Manija,AL208095,1,,Cabina,Manija JD 7195J,John Deere,
Filtro hidráulico,RE273801,2,,Filtros,Filtro hidráulico JD 7195J,John Deere,
Filtro de combustible,RE525525,2,,Filtros,Filtro de combustible JD 670S,John Deere,
Filtro LANS,COD-PEND,1,,Filtros,Filtro LANS JD 670S,John Deere,
Bomba de agua,RE530194,1,,Bombas,Bomba de agua JD 670S,John Deere,
Correa,HXE32806,1,,Transmisión,Correa JD 670S,John Deere,
Filtro de aire,L214634,1,,Filtros,Filtro de aire JD 670S,John Deere,
Filtro hidráulico,AT129775,2,,Filtros,Filtro hidráulico JD 670S,John Deere,
Filtro hidráulico,AH128449,4,,Filtros,Filtro hidráulico JD 670S,John Deere,
Filtro,RE532952,3,,Filtros,Filtro S780,John Deere,
Filtro,AT365869,3,,Filtros,Filtro S780,John Deere,Estantería inferior
Separador de agua,DZ28543,3,,Filtros,Separador de agua 7M 230,John Deere,
Filtro,DQ24057,3,,Filtros,Filtro JD 6145/6615,John Deere,
Correa,CQ58874,2,,Transmisión,Correa JD 6145/6615,John Deere,
Filtro hidráulico,AL221066,1,,Filtros,Filtro hidráulico JD 6145/6615,John Deere,
Polea tensora (usada),AL156090,1,,Transmisión,Polea tensora usada JD 6145/6615,John Deere,
Tensor de correa,AL157696,1,,Transmisión,Tensor de correa JD 6145/6615,John Deere,
Filtro hidráulico,P164381,1,,Filtros,Filtro hidráulico JD 6145/6615,John Deere,
Rodamiento,M84548/510/VA983,4,,Rodamientos,Rodamiento JD 6145/6615,John Deere,
Conector hidráulico,3CFPV-4SFPV-19HO,1,,Hidráulicos,Conector hidráulico JD 6145/6615,John Deere,
Anillo sellado radiador,R129680,2,,Juntas y Sellos,Anillo de sellado para radiador JD 6145/6615,John Deere,
Anillo tórico,L40281,1,,Juntas y Sellos,Anillo tórico JD 6145/6615,John Deere,
Filtro de combustible,RE541922,3,,Filtros,Filtro de combustible SD 230,John Deere,Estantería superior
Filtro de combustible,SPACO07116,3,,Filtros,Filtro de combustible SD 230,John Deere,
Filtro de combustible,84278636,7,,Filtros,Filtro de combustible CASE 230,Case,
Filtro de combustible,84412164,7,,Filtros,Filtro de combustible CASE 230,Case,
Filtro de aceite,84228488,7,,Filtros,Filtro de aceite CASE 230,Case,
Filtro de paso,,7,,Filtros,Filtro de paso CASE 230,Case,
Breather,5802292922,1,,Motor,Breather CASE 230,Case,
Termostato,504380075,1,,Motor,Termostato CASE 230,Case,
Filtro hidráulico,AL172780,4,,Filtros,Filtro hidráulico,John Deere,Estantería inferior
Filtro hidráulico,RE181915,4,,Filtros,Filtro hidráulico,John Deere,Estantería inferior
Filtro,RE24619,1,,Filtros,Filtro,John Deere,Estantería inferior
Filtro de combustible,RE62424,14,,Filtros,Filtro de combustible,John Deere,Estantería inferior
Filtro,RE196945,1,,Filtros,Filtro,John Deere,Estantería inferior
Manguera para 7505,,1,,Hidráulicos,Manguera para 7505,John Deere,Cofre
Faros Hilux,,1,,Eléctricos,Faros Hilux,Toyota,Cofre
Bomba agua y termostato,,1,,Motor,Bomba de agua y termostato,Toyota,Cofre
Junta carter TRX300EX,,1,,Juntas y Sellos,Junta carter TRX300EX,Honda,Cofre
Camisa doble Toyota,,1,,Motor,Camisa doble Toyota,Toyota,Cofre
Patentes,,5,,Varios,Patentes,Varios,Cofre
Tornillos,,10,,Tornillería,Tornillos,Varios,Cofre
Stereo Pioneer,,1,,Eléctricos,Stereo Pioneer,Pioneer,Cofre
Filtro,HXE11091,3,,Filtros,Filtro,John Deere,Sobre placard
Filtro,HXE11090,3,,Filtros,Filtro,John Deere,Sobre placard
Filtro,RE284091,2,,Filtros,Filtro,John Deere,Sobre placard
